Engine rpm,Lub oil pressure,Fuel pressure,Coolant pressure,lub oil temp,Coolant temp,Lub_Stress_Index,Thermal_Efficiency,Power_Load_Index
874,3.41,13.94,1.47,77.81,82.57,265.3321,0.017803074021669613,12183.56
845,3.27,12.86,2.85,74.37,66.98,243.18990000000002,0.04255000857718594,10866.699999999999
589,2.93,6.36,2.46,77.53,75.4,227.1629,0.03262599036790578,3746.04
864,1.9,5.83,2.85,77.41,79.47,147.07899999999998,0.035862585143754226,5037.12
536,4.26,6.74,1.32,77.55,77.12,330.363,0.01711618035319238,3612.6400000000003
581,3.21,6.71,2.26,75.02,92.0,240.81419999999997,0.02456521472117231,3898.5099999999998
484,4.16,9.14,3.11,75.4,82.86,313.66400000000004,0.03753318398103017,4423.76
1219,4.41,5.51,0.36,76.95,75.68,339.34950000000003,0.004756870407390273,6716.69
1053,3.3,6.12,3.17,77.45,87.65,255.585,0.0361665674653089,6444.36
804,4.82,6.03,2.25,76.77,82.49,370.0314,0.027276030152014772,4848.12
513,3.53,5.16,1.99,75.85,74.39,267.7505,0.026750903783989272,2647.08
1162,4.0,3.25,2.71,77.85,83.83,311.4,0.0323273252621585,3776.5
645,2.86,6.01,3.37,74.44,91.15,212.89839999999998,0.03697202007986614,3876.45
426,3.36,5.33,2.89,74.94,83.54,251.7984,0.03459420222717234,2270.58
847,3.4,2.71,2.31,80.45,77.63,273.53000000000003,0.029756533587977124,2295.37
832,2.38,8.75,1.54,83.01,83.45,197.56380000000001,0.018454161958758302,7280.0
644,2.18,3.51,1.87,76.44,81.59,166.63920000000002,0.022919472616806887,2260.44
850,4.22,5.8,1.43,76.1,76.23,321.14199999999994,0.01875901629817443,4930.0
616,2.83,9.23,3.37,75.78,72.69,214.4574,0.04636125376788365,5685.68
449,2.18,6.46,1.86,74.16,70.62,161.6688,0.026338144103916154,2900.54
551,2.46,3.44,3.51,74.14,79.49,182.3844,0.044156492117688746,1895.44
861,2.17,4.22,1.61,77.99,89.72,169.23829999999998,0.01794471489693325,3633.4199999999996
802,2.15,13.08,1.82,75.38,66.56,162.06699999999998,0.0273437458918651,10490.16
846,3.53,9.07,1.67,77.25,78.87,272.6925,0.02117408125090893,7673.22
587,3.03,3.0,3.02,76.34,74.81,231.3102,0.040368929238212906,1761.0
561,5.03,7.28,1.74,82.37,83.67,414.32110000000006,0.02079598173825962,4084.08
822,4.74,3.57,1.8,77.76,83.38,368.58240000000006,0.021587908180869732,2934.54
468,3.86,9.96,1.51,76.66,85.79,295.9076,0.01760111695988845,4661.280000000001
647,3.2,4.66,6.1,82.63,66.32,264.416,0.09197827322402394,3015.02
658,4.5,4.95,4.41,75.63,92.65,340.335,0.04759848379940811,3257.1
975,2.47,7.65,1.08,75.6,68.86,186.732,0.01568399423700345,7458.75
538,4.65,5.87,1.28,76.11,70.41,353.91150000000005,0.0181792333220802,3158.06
654,2.24,10.55,1.91,77.3,74.75,173.15200000000002,0.025551836046577115,6899.700000000001
520,3.62,5.76,2.02,78.24,72.72,283.2288,0.027777773957951876,2995.2
1062,2.67,6.17,2.26,74.4,82.1,198.648,0.027527402250011903,6552.54
765,2.32,4.88,1.18,77.72,82.68,180.3104,0.014271889904222313,3733.2
580,4.68,4.96,2.73,78.02,87.37,365.13359999999994,0.031246419681078205,2876.8
426,2.08,9.63,2.68,75.14,76.0,156.2912,0.03526315325484826,4102.38
711,4.17,6.58,2.41,74.18,71.75,309.3306,0.033588845492843834,4678.38
908,2.61,6.39,4.41,78.37,88.78,204.5457,0.04967334425846539,5802.12
500,3.69,4.11,2.28,77.92,77.51,287.5248,0.029415555487607336,2055.0
1286,5.12,3.83,3.25,77.37,71.86,396.1344,0.04522682365337828,4925.38
922,2.19,5.23,1.59,89.01,82.69,194.9319,0.01922844125910736,4822.06
906,2.86,5.6,3.18,77.13,74.45,220.59179999999998,0.042713224618774394,5073.599999999999
607,3.23,4.14,3.4,76.33,76.62,246.5459,0.0443748310656707,2512.98
713,3.69,5.38,1.43,76.74,76.72,283.1706,0.018639205078310076,3835.94
823,2.07,3.52,1.38,74.9,89.25,155.043,0.015462183141492083,2896.96
712,2.01,5.23,1.8,77.86,83.45,156.49859999999998,0.02156979969205516,3723.76
627,3.04,6.58,2.9,76.89,70.33,233.7456,0.04123417585181632,4125.66
618,2.59,3.68,1.87,75.3,76.22,195.027,0.02453423976197327,2274.2400000000002
1010,2.46,6.86,1.95,78.12,79.36,192.17520000000002,0.024571569484429248,6928.6
556,3.15,3.71,1.65,77.05,88.69,242.70749999999998,0.018604124635908822,2062.7599999999998
795,3.47,5.2,1.66,77.44,66.26,268.71680000000003,0.02505281843452785,4134.0
590,4.21,5.78,1.39,74.56,78.42,313.8976,0.017725067874895705,3410.2000000000003
947,1.95,5.69,3.07,79.62,81.03,155.25900000000001,0.03788719759506385,5388.43
771,3.18,4.29,1.41,77.97,65.64,247.9446,0.021480801115051625,3307.59
924,3.51,5.93,1.89,82.98,80.41,291.2598,0.02350453631332716,5479.32
864,2.73,4.27,2.36,76.07,79.86,207.67109999999997,0.029551711801688977,3689.2799999999997
724,2.58,2.26,2.42,87.69,76.44,226.2402,0.03165881323144777,1636.2399999999998
1407,4.89,7.62,1.82,75.33,72.06,368.3637,0.025256726997401193,10721.34
807,3.57,5.44,1.59,77.64,84.31,277.1748,0.018858970601474248,4390.08
547,4.13,7.52,1.1,75.0,65.22,309.75,0.016865989440970647,4113.44
528,1.74,4.03,3.3,76.99,76.56,133.96259999999998,0.04310344264584082,2127.84
507,3.31,6.1,1.09,76.83,74.71,254.3073,0.014589745068967333,3092.7
633,3.39,5.59,2.1,74.56,78.45,252.75840000000002,0.026768639035227654,3538.47
1158,3.11,5.28,2.08,83.49,91.44,259.65389999999996,0.0227471541177653,6114.240000000001
557,2.15,9.9,1.73,76.28,89.47,164.002,0.019336088148419788,5514.3
787,4.37,6.57,2.2,76.77,69.36,335.4849,0.03171856520781932,5170.59
705,3.16,5.38,6.63,86.04,80.59,271.88640000000004,0.08226826128945758,3792.9
782,1.96,8.56,2.51,76.44,77.37,149.8224,0.032441510605982854,6693.92
657,4.07,7.18,2.76,75.03,82.86,305.37210000000005,0.03330919221467629,4717.26
748,2.24,8.84,2.59,76.37,73.96,171.06880000000004,0.03501892441604591,6612.32
892,4.9,1.02,2.26,76.21,79.79,373.429,0.028324347872622144,909.84
982,4.51,5.18,1.83,77.58,89.97,349.88579999999996,0.020340111110357773,5086.759999999999
730,3.64,6.79,1.62,77.03,77.0,280.3892,0.021038958306628792,4956.7
1009,3.92,5.89,1.04,76.44,79.29,299.6448,0.013116406467851371,5943.009999999999
944,2.74,6.2,1.98,73.88,77.09,202.4312,0.025684261812911943,5852.8
797,4.93,8.0,2.05,75.05,72.28,369.99649999999997,0.028361921920044,6376.0
919,3.93,5.42,2.66,76.08,81.99,298.9944,0.032442976894380186,4980.98
839,2.75,12.22,2.19,77.73,82.14,213.75750000000002,0.02666179368617072,10252.58
766,2.54,7.8,1.65,77.33,78.85,196.41819999999998,0.020925805843271295,5974.8
733,3.08,5.89,1.93,76.43,74.6,235.40440000000004,0.025871310204918202,4317.37
647,2.12,10.43,1.38,75.42,86.83,159.8904,0.015893122665769588,6748.21
527,3.35,2.97,1.98,75.64,82.36,253.394,0.02404079358416785,1565.19
1428,4.65,3.96,1.39,73.73,73.53,342.84450000000004,0.018903846198307327,5654.88
600,4.17,4.67,2.36,75.86,77.9,316.3362,0.03029524643193242,2802.0
558,4.6,6.9,1.34,77.97,90.72,358.662,0.01477072147589049,3850.2000000000003
706,2.51,3.62,1.83,76.03,74.96,190.8353,0.024413017020675425,2555.7200000000003
1123,2.84,6.41,2.41,82.47,83.64,234.2148,0.02881396116523659,7198.43
1103,3.21,7.85,3.06,77.02,74.9,247.2342,0.04085446717563856,8658.55
733,5.11,14.78,0.95,73.96,78.26,377.93559999999997,0.012139022215816224,10833.74
463,3.14,3.43,1.28,76.73,79.99,240.93220000000002,0.01600199824953141,1588.0900000000001
1521,3.5,6.75,1.92,77.58,80.8,271.53,0.023762373296735976,10266.75
1135,4.26,5.48,1.64,74.88,71.1,318.98879999999997,0.023066100834584973,6219.8
947,4.11,10.04,1.61,79.31,79.19,325.96410000000003,0.020330847287429312,9507.88
497,4.24,8.13,2.85,76.29,79.02,323.46960000000007,0.03606681396269122,4040.6100000000006
696,5.01,5.3,1.14,74.49,80.86,373.19489999999996,0.014098440007613155,3688.7999999999997
1283,2.78,6.58,1.81,76.91,82.0,213.80979999999997,0.022073168039857555,8442.14
438,2.75,7.17,1.3,77.3,74.05,212.575,0.01755570323353096,3140.46
435,3.48,3.65,1.41,78.67,78.14,273.7716,0.01804453313993689,1587.75
654,3.89,6.34,3.44,78.2,84.52,304.19800000000004,0.04070042111921189,4146.36
1137,2.71,2.02,4.24,76.63,86.94,207.66729999999998,0.048769260551039736,2296.7400000000002
1219,1.89,7.45,2.26,77.87,88.32,147.1743,0.025588765218663358,9081.550000000001
1023,4.32,7.62,1.68,76.7,82.51,331.34400000000005,0.020361165875510134,7795.26
1349,2.61,0.35,5.11,76.66,81.69,200.08259999999999,0.06255354846939057,472.15
770,2.32,7.57,1.34,77.16,79.89,179.01119999999997,0.016773060862052713,5828.900000000001
818,2.99,14.21,2.4,77.75,75.03,232.47250000000003,0.03198720085469801,11623.78
881,4.19,2.73,1.28,86.32,84.7,361.68080000000003,0.015112158782507818,2405.13
1043,4.53,5.6,1.42,74.86,89.83,339.11580000000004,0.01580763488727208,5840.799999999999
434,4.58,11.39,2.72,83.46,78.22,382.24679999999995,0.034773710716733484,4943.26
539,2.78,12.54,2.11,74.9,80.09,208.222,0.026345358178878984,6759.0599999999995
1055,3.51,6.9,3.58,75.07,73.65,263.49569999999994,0.048608275816934714,7279.5
804,2.38,4.87,1.26,77.32,78.28,184.02159999999998,0.016096063350017457,3915.48
894,2.35,4.6,1.14,75.64,73.95,177.75400000000002,0.015415819416386823,4112.4
452,3.44,5.62,2.31,74.09,78.5,254.86960000000002,0.02942674784372639,2540.2400000000002
826,2.1,6.09,3.21,83.92,77.09,176.232,0.04163963657547845,5030.34
478,2.25,4.23,3.34,82.83,70.0,186.3675,0.047714278897960156,2021.9400000000003
533,3.94,6.2,1.38,81.11,74.83,319.5734,0.018441798952051454,3304.6
999,3.12,7.59,2.82,76.48,79.06,238.6176,0.03566910755513438,7582.41
554,3.4,10.29,2.0,76.55,83.11,260.27,0.024064489945314647,5700.66
786,3.69,6.32,1.76,75.74,78.86,279.4806,0.02231802912528162,4967.52
866,3.47,3.91,2.48,77.05,80.97,267.3635,0.030628624104159057,3386.06
758,3.78,5.98,2.2,77.65,73.5,293.517,0.029931968716738953,4532.84
744,2.53,3.33,1.07,84.39,79.06,213.5067,0.013534023079430423,2477.52
732,5.16,5.88,1.32,76.88,82.13,396.7008,0.016072078890529785,4304.16
884,2.7,5.28,0.71,75.34,77.83,203.41800000000003,0.009122445185346885,4667.52
561,3.06,2.87,4.78,77.31,82.58,236.5686,0.057883257703650076,1610.0700000000002
338,1.97,3.65,1.55,78.67,83.46,154.97990000000001,0.018571768682989615,1233.7
604,3.58,3.74,3.46,77.45,83.77,277.271,0.0413035643662929,2258.96
761,3.9,6.03,3.52,75.9,72.62,296.01,0.048471488781122445,4588.83
727,2.82,9.11,3.51,79.98,76.0,225.5436,0.04618420444944678,6622.969999999999
718,5.42,6.23,2.69,74.78,74.98,405.3076,0.035876228877536824,4473.14
1185,2.81,4.08,1.23,75.34,70.59,211.70540000000003,0.017424561917472457,4834.8
865,2.58,3.73,1.8,79.26,82.1,204.4908,0.021924479668151076,3226.45
610,2.55,2.56,1.12,77.97,69.01,198.8235,0.016229529600126125,1561.6000000000001
902,2.63,6.07,1.4,86.09,74.33,226.4167,0.018834922799014824,5475.14
1019,4.11,4.89,2.44,78.26,72.17,321.64860000000004,0.033809057252451535,4982.91
1329,3.59,6.45,2.61,76.13,76.58,273.3067,0.03408200129511605,8572.050000000001
405,3.66,7.0,1.69,74.65,91.41,273.21900000000005,0.01848812837893793,2835.0
984,2.49,3.07,2.68,75.44,86.53,187.84560000000002,0.030971913674804844,3020.8799999999997
857,4.26,7.48,6.02,76.3,79.18,325.03799999999995,0.07602929072628305,6410.360000000001
444,2.41,7.01,3.16,74.23,81.7,178.89430000000002,0.03867808584111556,3112.44
532,2.58,6.98,2.52,81.48,67.73,210.2184,0.037206549947357156,3713.36
483,2.74,7.67,1.28,78.17,72.05,214.18580000000003,0.017765438200494352,3704.61
972,2.74,5.47,4.02,77.67,81.05,212.81580000000002,0.04959900683540939,5316.84
434,4.78,1.8,1.51,75.52,71.28,360.9856,0.021184059878779478,781.2
719,2.59,5.55,2.77,77.61,69.04,201.0099,0.04012166278654942,3990.45
446,2.32,3.99,1.47,77.21,81.7,179.12719999999996,0.017992653856468314,1779.5400000000002
589,2.22,11.67,1.94,78.15,79.35,173.49300000000002,0.02444864216148177,6873.63
730,1.76,5.68,5.17,82.57,84.16,145.32319999999999,0.061430601065755576,4146.4
959,2.51,4.14,1.85,74.26,79.47,186.3926,0.02327922193541941,3970.2599999999998
577,2.5,4.45,2.36,76.01,68.67,190.025,0.034367258720364245,2567.65
530,2.72,6.59,1.57,76.71,85.38,208.6512,0.018388379200236685,3492.7
872,3.6,7.99,1.67,75.91,78.58,273.276,0.021252224325245057,6967.28
1383,2.89,1.84,1.74,79.1,74.36,228.599,0.023399674099021772,2544.7200000000003
887,2.85,8.65,1.81,75.58,76.73,215.403,0.023589205840061793,7672.55
478,3.7,4.8,2.29,74.78,73.65,276.68600000000004,0.03109300324602807,2294.4
921,4.01,5.81,2.27,78.2,75.77,313.582,0.02995908275582912,5351.009999999999
1330,4.33,4.93,2.11,80.0,68.99,346.4,0.030584138196240295,6556.9
606,4.05,5.03,2.22,77.11,80.64,312.2955,0.027529758490853363,3048.1800000000003
1077,2.35,9.08,1.55,75.6,82.3,177.66,0.018833533556071258,9779.16
1264,2.46,4.89,0.87,84.29,81.42,207.35340000000002,0.010685333986080325,6180.96
775,2.24,5.8,2.85,75.12,90.83,168.26880000000003,0.031377294794969195,4495.0
1104,4.59,5.58,2.89,79.39,79.79,364.4001,0.03622007316454779,6160.32
773,3.27,12.36,1.22,80.79,78.67,264.18330000000003,0.015507815494112686,9554.279999999999
1415,2.94,7.85,2.52,78.17,75.03,229.81980000000001,0.03358656089743291,11107.75
768,1.82,7.67,2.84,85.34,76.49,155.3188,0.03712903162125355,5890.5599999999995
879,3.27,6.95,3.37,74.18,87.32,242.56860000000003,0.03859367400438914,6109.05
519,3.36,8.0,2.73,74.95,78.35,251.832,0.03484364583999415,4152.0
1088,3.3,5.27,2.35,78.14,83.71,257.86199999999997,0.02807310619124284,5733.759999999999
542,2.53,5.64,2.99,74.93,84.06,189.5729,0.03556982684156235,3056.8799999999997
685,2.24,8.06,3.38,76.82,73.62,172.0768,0.0459114308732096,5521.1
568,3.89,12.23,1.98,78.55,77.01,305.5595,0.025710943291657795,6946.64
765,2.37,3.38,2.26,76.67,71.93,181.70790000000002,0.03141943119429567,2585.7
983,3.89,5.44,3.23,84.73,72.44,329.59970000000004,0.04458861891377431,5347.52
1181,3.37,2.85,0.84,81.53,83.93,274.7561,0.010008339091106981,3365.85
964,3.61,5.46,1.72,75.41,77.92,272.2301,0.0220739191383574,5263.44
525,1.91,6.72,2.42,76.89,73.75,146.85989999999998,0.03281355487273832,3528.0
791,3.56,3.82,1.38,75.82,79.68,269.9192,0.01731927493482995,3021.62
579,3.7,6.45,1.65,77.47,71.78,286.639,0.022986901227793084,3734.55
1332,5.18,6.65,2.71,80.92,77.67,419.1656,0.034891201893755386,8857.800000000001
1156,4.14,5.2,1.63,77.13,75.28,319.31819999999993,0.021652494466990635,6011.2
1096,2.48,5.15,0.64,84.09,78.02,208.5432,0.008203023814018993,5644.400000000001
541,2.32,10.08,6.45,76.65,85.36,177.828,0.07556231542147195,5453.28
886,2.96,6.43,2.95,75.52,89.9,223.5392,0.032814234392187495,5696.98
1088,2.94,5.04,1.19,76.1,74.66,223.73399999999998,0.015938920983268018,5483.52
731,3.58,6.91,0.92,77.34,79.22,276.8772,0.01161322751663374,5051.21
644,2.08,5.66,2.88,83.89,74.07,174.49120000000002,0.03888213326824176,3645.04
577,2.11,8.85,2.58,81.32,87.65,171.5852,0.029435250492270335,5106.45
551,3.3,5.0,1.43,72.94,83.68,240.70199999999997,0.01708890809166968,2755.0
625,3.67,2.82,2.41,77.8,87.25,285.526,0.027621773338478702,1762.5
847,4.25,3.99,3.04,79.25,85.75,336.8125,0.03545189090940048,3379.53
854,4.29,11.52,1.32,75.16,80.17,322.4364,0.016465009796057153,9838.08
1387,5.21,5.01,1.34,75.39,73.38,392.7819,0.018261104079980366,6948.87
589,4.83,5.84,1.08,74.5,87.09,359.835,0.012400963095537594,3439.7599999999998
760,3.88,2.4,2.89,84.37,77.89,327.3556,0.03710360288822662,1824.0
904,3.24,1.42,2.47,82.02,77.39,265.7448,0.03191626412763095,1283.6799999999998
1300,2.22,8.43,1.58,80.84,74.47,179.46480000000003,0.021216594438486044,10959.0
438,2.32,3.2,2.37,74.7,80.65,173.304,0.029386233182116157,1401.6000000000001
589,3.46,5.51,0.3,77.96,89.9,269.74159999999995,0.0033370407856461856,3245.39
450,2.18,5.68,1.06,85.83,81.02,187.10940000000002,0.013083187721156787,2556.0
870,1.8,3.78,1.99,84.55,91.06,152.19,0.02185372042019323,3288.6
831,2.34,5.78,3.55,81.73,78.55,191.2482,0.04519413810386529,4803.18
1231,2.31,4.27,2.19,82.11,76.6,189.6741,0.028590074596596005,5256.37
585,4.49,2.98,2.55,76.81,81.93,344.87690000000003,0.03112412655631312,1743.3
813,4.6,3.37,1.52,76.95,78.73,353.96999999999997,0.019306488085038983,2739.81
529,7.27,2.59,1.46,77.34,86.5,562.2618,0.016878610765478523,1370.11
806,3.95,21.14,1.57,74.92,72.11,295.934,0.0217722893118445,17038.84
599,2.23,4.7,2.41,75.26,68.27,167.8298,0.035301005522044016,2815.3
738,2.16,6.69,1.94,78.74,84.39,170.0784,0.022988503023047394,4937.22
592,4.75,7.65,2.19,82.26,73.39,390.735,0.029840573669359084,4528.8
607,3.21,8.62,2.2,76.74,77.24,246.3354,0.028482647788367715,5232.339999999999
554,2.36,7.5,3.33,75.49,77.8,178.1564,0.042802051053720945,4155.0
754,3.87,2.53,1.39,77.79,78.62,301.0473,0.017679977400155505,1907.62
946,4.94,5.1,1.55,75.7,86.03,373.958,0.018016968729865312,4824.599999999999
1245,3.24,10.32,1.26,77.12,79.21,249.86880000000002,0.015907080430869785,12848.4
468,3.06,6.47,2.87,76.33,67.51,233.5698,0.04251221411461796,3027.96
511,2.82,6.23,1.5,78.33,73.89,220.89059999999998,0.020300443862438237,3183.53
1064,0.19,7.37,1.41,76.86,81.59,14.6034,0.01728152748112177,7841.68
406,1.99,7.23,1.71,75.62,81.66,150.4838,0.020940482373195887,2935.38
1308,3.91,5.08,3.12,84.38,64.79,329.9258,0.04815557213218519,6644.64
513,2.73,17.48,2.69,78.57,74.14,214.49609999999998,0.03628270349572383,8967.24
386,2.77,7.06,3.53,76.29,74.92,211.32330000000002,0.04711691843073699,2725.16
590,2.95,13.41,1.94,77.62,88.42,228.979,0.02194073490830865,7911.9
1517,3.21,4.54,3.57,77.52,68.37,248.83919999999998,0.052215876522469416,6887.18
1308,2.91,3.9,1.76,74.67,84.4,217.2897,0.020853078097976527,5101.2
703,2.12,17.68,1.29,77.48,72.43,164.25760000000002,0.017810297140646535,12429.039999999999
599,2.14,6.61,3.48,83.41,84.86,178.4974,0.0410087154125954,3959.3900000000003
905,3.99,16.07,1.43,76.98,75.24,307.15020000000004,0.019005845427186946,14543.35
581,3.62,6.16,2.48,80.37,81.42,290.93940000000003,0.03045934285687265,3578.96
768,6.56,5.84,5.07,76.77,72.45,503.61119999999994,0.06997928640727585,4485.12
705,3.49,2.83,1.84,76.2,80.23,265.93800000000005,0.022934061705838,1995.15
754,3.84,6.98,4.56,75.01,76.65,288.0384,0.059491185976361896,5262.92
987,2.84,2.82,3.99,75.95,77.25,215.698,0.05165047875074709,2783.3399999999997
885,4.44,2.13,2.81,85.11,75.1,377.88840000000005,0.03741677264756689,1885.05
760,4.91,2.59,1.75,77.87,118.37,382.34170000000006,0.014784150140732435,1968.3999999999999
723,2.54,7.63,2.66,80.86,81.56,205.3844,0.03261402248479371,5516.49
1068,2.58,4.26,3.16,77.87,88.83,200.90460000000002,0.035573563483782114,4549.679999999999
818,3.64,7.29,2.41,83.82,64.77,305.1048,0.03720857847636584,5963.22
661,2.59,8.0,2.24,85.1,67.04,220.40899999999996,0.03341288284414039,5288.0
496,2.24,4.78,3.1,77.57,77.06,173.7568,0.04022838823924367,2370.88
1142,3.81,8.57,1.0,79.19,77.6,301.7139,0.01288659627750048,9786.94
692,4.39,5.78,2.87,80.34,74.98,352.69259999999997,0.03827686872807832,3999.76
409,2.34,2.69,3.49,76.94,79.62,180.03959999999998,0.043833202231449105,1100.21
658,4.19,4.38,1.47,76.87,84.93,322.0853000000001,0.017308369562184203,2882.04
500,1.88,1.77,1.51,75.25,72.62,141.47,0.020793167062356503,885.0
794,2.62,5.56,2.08,75.57,83.23,197.99339999999998,0.024990985823502843,4414.639999999999
1290,1.97,5.51,0.93,74.41,70.77,146.58769999999998,0.013141159652231222,7107.9
403,3.34,5.95,1.27,76.2,81.98,254.508,0.015491581423325027,2397.85
488,3.58,2.75,2.9,78.52,93.67,281.1016,0.03095974901678776,1342.0
853,5.05,12.69,3.48,77.22,67.24,389.96099999999996,0.0517549000959399,10824.57
1521,3.6,5.96,3.22,73.98,79.28,266.32800000000003,0.04061553473567927,9065.16
1028,4.29,8.98,2.43,75.69,78.53,324.7101,0.030943584497187763,9231.44
1240,5.29,9.7,2.02,75.28,81.99,398.2312,0.02463714786716089,12028.0
471,4.38,4.45,1.5,76.65,77.89,335.72700000000003,0.019257925374512083,2095.9500000000003
670,4.22,8.01,3.01,76.41,76.57,322.45019999999994,0.03931042976225287,5366.7
575,3.49,10.1,3.46,75.62,88.14,263.91380000000004,0.039255725067423974,5807.5
1359,4.21,5.17,1.54,80.97,79.92,340.8837,0.01926926685819984,7026.03
752,3.47,4.24,3.05,75.56,77.75,262.19320000000005,0.03922829077449636,3188.48
841,5.42,5.72,2.29,74.94,71.25,406.1748,0.032140346366267177,4810.5199999999995
767,2.65,6.4,1.97,76.96,80.8,203.944,0.024381185101338475,4908.8
1292,2.86,3.59,3.06,74.71,76.87,213.67059999999998,0.039807461973791855,4638.28
537,3.19,4.89,2.69,75.0,69.79,239.25,0.03854419851781078,2625.93
1034,3.44,18.1,3.07,75.08,73.29,258.2752,0.04188838287783014,18715.4
1109,3.86,5.43,1.86,75.51,83.36,291.46860000000004,0.022312857208150527,6021.87
620,2.25,17.79,2.7,77.87,65.85,175.2075,0.04100227167771121,11029.8
539,3.14,4.61,1.87,75.22,69.56,236.1908,0.02688326238020955,2484.79
724,3.48,3.36,1.11,86.55,82.52,301.194,0.013451282907018554,2432.64
